都道府県,35山口県,350,164,7.3,9.5,14.5,14.2,17.7,7.8,9.9,21.6,12.1,9.5,46.7,24.8,15.2,
都道府県,36徳島県,312,84,6,9.2,14.4,15.2,20,9,11,21.3,12.6,8.8,46.3,22.7,13.9,
都道府県,37香川県,333,112,6.9,10.6,16.2,15.3,17.6,8.1,9.5,20.4,11.9,8.4,43,21.5,13.1,
都道府県,38愛媛県,320,165,6.6,9.9,15.1,15.3,18.5,8.5,10,20.3,11.7,8.6,44.7,23,14.4,
都道府県,39高知県,276,86,6.1,8.8,14.6,14.7,18.5,8.4,10.1,21.5,12.3,9.2,47.4,25,15.8,
都道府県,40福岡県,310,635,9.8,12.6,16.7,15.4,16.9,7.8,9.2,17.5,10.1,7.4,37.7,18.5,11.1,
都道府県,41佐賀県,342,86,6.7,10.2,14.3,15,20.7,9.2,11.5,19.8,11.6,8.3,44.6,21.6,13.3,
都道府県,42長崎県,323,153,6.3,9.7,14,15.4,20.6,9.3,11.3,19.8,11.6,8.2,45.3,22.4,14.2,
都道府県,43熊本県,308,197,7.3,11,14.7,15,19.6,9,10.6,18.8,11,7.8,43,21.5,13.6,
都道府県,44大分県,306,134,7.3,10.3,14.9,14.6,19,8.6,10.4,20.1,11.6,8.6,44.2,22.3,13.7,
都道府県,45宮崎県,278,129,6.6,10.5,15,14.8,19.8,9,10.8,19.2,11.2,8,44.1,22.2,14.1,
都道府県,46鹿児島県,275,199,6.7,10.4,14,14.7,20.2,9.3,11,18.4,10.7,7.8,45,23.3,15.6,
都道府県,47沖縄県,184,169,8,14.2,18.3,17.2,18.8,9,9.8,13.4,8,5.4,33.2,15.4,9.9,
